Text,Gloss,NpyFilesRoot
we will do a stress test to evaluate your heart,HEART STRESS TEST DO WILL,/HEART STRESS TEST DO WILL/*.npy
please inform me if you're using any herbal remedies,HERBAL REMEDIES USE INFORM ME,/HERBAL REMEDIES USE INFORM ME/*.npy
i'm here for a second opinion,HERE FOR SECOND OPINION I,/HERE FOR SECOND OPINION I/*.npy
is there wi-fi available in the waiting area?,HERE Wi-Fi AVAILABLE?,/HERE Wi-Fi AVAILABLE?/*.npy
we need to discuss options for managing high blood pressure,HIGH BLOOD PRESSURE MANAGE OPTIONS DISCUSS,/HIGH BLOOD PRESSURE MANAGE OPTIONS DISCUSS/*.npy
can we get advice on adapting our home for their needs?,"HOME ADAPT, THEIR NEEDS FOR, ADVICE GET CAN?","/HOME ADAPT, THEIR NEEDS FOR, ADVICE GET CAN?/*.npy"
how can we make their home environment more conducive to healing?,"HOME ENVIRONMENT, HEALING PROMOTE, MAKE HOW?","/HOME ENVIRONMENT, HEALING PROMOTE, MAKE HOW?/*.npy"
i need a recommendation for a home health aid,"HOME HEALTH AID, RECOMMENDATION NEED I","/HOME HEALTH AID, RECOMMENDATION NEED I/*.npy"
is it possible to arrange for home health services?,"HOME HEALTH SERVICES, ARRANGE POSSIBLE?","/HOME HEALTH SERVICES, ARRANGE POSSIBLE?/*.npy"
how can i make the home environment safer for their recovery?,"HOME MAKE SAFE, RECOVERY FOR HOW?","/HOME MAKE SAFE, RECOVERY FOR HOW?/*.npy"
i'm worried about the risk of infection in the hospital,"HOSPITAL INFECTION RISK, WORRY ABOUT","/HOSPITAL INFECTION RISK, WORRY ABOUT/*.npy"
have you had any recent hospitalizations or surgeries?,HOSPITAL STAY RECENT OR SURGERY ANY?,/HOSPITAL STAY RECENT OR SURGERY ANY?/*.npy
what can we do to make sure they're comfortable during their hospital stay?,"HOSPITAL STAY, COMFORTABLE MAKE SURE, WHAT DO?","/HOSPITAL STAY, COMFORTABLE MAKE SURE, WHAT DO?/*.npy"
how often have you been experiencing these symptoms?,HOW OFTEN SYMPTOMS YOU EXPERIENCE?,/HOW OFTEN SYMPTOMS YOU EXPERIENCE?/*.npy
"i feel dizzy, can i lay down?","I FEEL DIZZY, LIE DOWN CAN I ?","/I FEEL DIZZY, LIE DOWN CAN I ?/*.npy"
i'm feeling a bit nervous about this procedure,I FEEL NERVOUS ABOUT PROCEDURE,/I FEEL NERVOUS ABOUT PROCEDURE/*.npy
i have an appointment today,I HAVE APPOINTMENT TODAY,/I HAVE APPOINTMENT TODAY/*.npy
i specialize in pediatric care,I SPECIALIZE PEDIATRIC CARE,/I SPECIALIZE PEDIATRIC CARE/*.npy
can we talk about the potential long-term effects of their illness?,"ILLNESS LONG-TERM EFFECTS, TALK CAN?","/ILLNESS LONG-TERM EFFECTS, TALK CAN?/*.npy"
i need to talk about my fears regarding my illness,"ILLNESS MY, FEARS ABOUT TALK NEED","/ILLNESS MY, FEARS ABOUT TALK NEED/*.npy"
can i have a copy of my immunization record?,"IMMUNIZATION RECORD MY, COPY HAVE CAN I?","/IMMUNIZATION RECORD MY, COPY HAVE CAN I?/*.npy"
it's important to keep your immunizations up to date,IMMUNIZATIONS KEEP UP-TO-DATE IMPORTANT,/IMMUNIZATIONS KEEP UP-TO-DATE IMPORTANT/*.npy
it's important that you complete the full course of antibiotics,IMPORTANT COMPLETE FULL ANTIBIOTICS COURSE,/IMPORTANT COMPLETE FULL ANTIBIOTICS COURSE/*.npy
it's important not to miss any doses of this medication,IMPORTANT DON'T MISS ANY DOSE MEDICINE,/IMPORTANT DON'T MISS ANY DOSE MEDICINE/*.npy
i'm here to make sure they don't miss any important information,"IMPORTANT INFORMATION MISS NOT, MAKE SURE HERE I","/IMPORTANT INFORMATION MISS NOT, MAKE SURE HERE I/*.npy"
it's important to keep the wound dry and clean,IMPORTANT KEEP WOUND DRY CLEAN,/IMPORTANT KEEP WOUND DRY CLEAN/*.npy
what exercises can i do to improve my condition?,"IMPROVE CONDITION MY, EXERCISES WHAT DO CAN?","/IMPROVE CONDITION MY, EXERCISES WHAT DO CAN?/*.npy"
have you noticed any improvement since your last visit?,IMPROVEMENT NOTICE SINCE LAST VISIT?,/IMPROVEMENT NOTICE SINCE LAST VISIT?/*.npy
are there any specific signs of improvement i should look for?,"IMPROVEMENT SIGNS SPECIFIC, LOOK FOR WHAT?","/IMPROVEMENT SIGNS SPECIFIC, LOOK FOR WHAT?/*.npy"
how can i help them maintain their independence during recovery?,"INDEPENDENCE MAINTAIN, RECOVERY DURING, HELP HOW?","/INDEPENDENCE MAINTAIN, RECOVERY DURING, HELP HOW?/*.npy"
we'll be checking for any signs of infection,INFECTION SIGNS CHECK WE DO,/INFECTION SIGNS CHECK WE DO/*.npy
what are the signs of infection i should watch for?,INFECTION SIGNS WATCH FOR WHAT?,/INFECTION SIGNS WATCH FOR WHAT?/*.npy
it's important to follow the instructions for your inhaler,INHALER INSTRUCTIONS FOLLOW IMPORTANT,/INHALER INSTRUCTIONS FOLLOW IMPORTANT/*.npy
i need guidance on how to use this inhaler,"INHALER THIS, USE HOW, GUIDANCE NEED I","/INHALER THIS, USE HOW, GUIDANCE NEED I/*.npy"
"i forgot how to use my inhaler, can you show me again?","INHALER USE FORGOT I, SHOW AGAIN CAN YOU?","/INHALER USE FORGOT I, SHOW AGAIN CAN YOU?/*.npy"
we'll give you some instructions for after-care at home,INSTRUCTIONS AFTER-CARE HOME WE GIVE YOU,/INSTRUCTIONS AFTER-CARE HOME WE GIVE YOU/*.npy
i'm having issues with my insurance claim,"INSURANCE CLAIM ISSUES, HAVE I","/INSURANCE CLAIM ISSUES, HAVE I/*.npy"
are you currently covered by health insurance for these treatments?,INSURANCE COVER TREATMENT THESE?,/INSURANCE COVER TREATMENT THESE?/*.npy
are you experiencing any issues with your current health insurance coverage?,INSURANCE ISSUE HEALTH EXPERIENCE YOU?,/INSURANCE ISSUE HEALTH EXPERIENCE YOU?/*.npy
"i need an interpreter, does your clinic provide one?","INTERPRETER NEED I, YOUR CLINIC PROVIDE CAN?","/INTERPRETER NEED I, YOUR CLINIC PROVIDE CAN?/*.npy"
have you been experiencing any joint pain or stiffness?,JOINT PAIN STIFFNESS YOU EXPERIENCE?,/JOINT PAIN STIFFNESS YOU EXPERIENCE?/*.npy
we need to monitor your kidney function,KIDNEY FUNCTION MONITOR NEED,/KIDNEY FUNCTION MONITOR NEED/*.npy
can i have a detailed explanation of my lab results?,"LAB RESULTS, DETAILED EXPLANATION HAVE CAN?","/LAB RESULTS, DETAILED EXPLANATION HAVE CAN?/*.npy"
would you like information on lifestyle changes for your condition?,LIFESTYLE CHANGE INFORMATION WANT?,/LIFESTYLE CHANGE INFORMATION WANT?/*.npy
can you explain the benefits of the recommended lifestyle changes?,"LIFESTYLE CHANGES RECOMMENDED, BENEFITS EXPLAIN CAN?","/LIFESTYLE CHANGES RECOMMENDED, BENEFITS EXPLAIN CAN?/*.npy"
do you have any questions about the lifestyle recommendations we've given?,LIFESTYLE RECOMMEND QUESTION HAVE?,/LIFESTYLE RECOMMEND QUESTION HAVE?/*.npy
is there a support group for patients like me?,"LIKE ME PATIENTS, SUPPORT GROUP THERE?","/LIKE ME PATIENTS, SUPPORT GROUP THERE?/*.npy"
please give me a list of any vitamines you're taking,LIST VITAMINES YOU TAKE PLEASE GIVE-me,/LIST VITAMINES YOU TAKE PLEASE GIVE-me/*.npy
we need to monitor your liver function,LIVER FUNCTION MONITOR NEED,/LIVER FUNCTION MONITOR NEED/*.npy
"i've had this issue for a long time, can you help me?","LONG TIME THIS ISSUE I HAVE, HELP-me CAN YOU?","/LONG TIME THIS ISSUE I HAVE, HELP-me CAN YOU?/*.npy"
how long have you been feeling fatigued?,LONG YOU FEEL FATIGUE?,/LONG YOU FEEL FATIGUE?/*.npy
can we talk about the long-term prognosis?,"LONG-TERM PROGNOSIS, TALK CAN?","/LONG-TERM PROGNOSIS, TALK CAN?/*.npy"
can you provide a low-impact exercise routine for me?,"LOW-IMPACT EXERCISE, ROUTINE PROVIDE CAN YOU?","/LOW-IMPACT EXERCISE, ROUTINE PROVIDE CAN YOU?/*.npy"
we need to evaluate your lung function,LUNG FUNCTION EVALUATE NEED,/LUNG FUNCTION EVALUATE NEED/*.npy
we need to discuss the importance of regular mammograms,MAMMOGRAMS REGULAR IMPORTANCE DISCUSS,/MAMMOGRAMS REGULAR IMPORTANCE DISCUSS/*.npy
i need advice on managing my diabetes,"MANAGE DIABETES MY, ADVICE NEED I","/MANAGE DIABETES MY, ADVICE NEED I/*.npy"
i am your nurse for today,ME NURSE TODAY FOR-YOU,/ME NURSE TODAY FOR-YOU/*.npy
can i get assistance with meal planning?,"MEAL PLANNING, ASSISTANCE GET CAN I?","/MEAL PLANNING, ASSISTANCE GET CAN I?/*.npy"
it's important to wear your medical alert bracelet at all times,MEDICAL ALERT BRACELET WEAR ALL-TIME IMPORTANT,/MEDICAL ALERT BRACELET WEAR ALL-TIME IMPORTANT/*.npy
is there training available for family on medical care?,"MEDICAL CARE TRAINING, FAMILY FOR, AVAILABLE?","/MEDICAL CARE TRAINING, FAMILY FOR, AVAILABLE?/*.npy"
can you explain how this medical device works?,"MEDICAL DEVICE THIS, WORKS HOW, EXPLAIN CAN YOU?","/MEDICAL DEVICE THIS, WORKS HOW, EXPLAIN CAN YOU?/*.npy"
is there someone who can advise us on medical equipment for home use?,"MEDICAL EQUIPMENT HOME USE, ADVISE WHO CAN?","/MEDICAL EQUIPMENT HOME USE, ADVISE WHO CAN?/*.npy"
i'm not sure how to use this medical equipment,"MEDICAL EQUIPMENT THIS, USE HOW?","/MEDICAL EQUIPMENT THIS, USE HOW?/*.npy"
i need guidance on how to use the medical equipment they'll need,"MEDICAL EQUIPMENT, USE HOW, GUIDANCE NEED","/MEDICAL EQUIPMENT, USE HOW, GUIDANCE NEED/*.npy"
can you recommend any resources for financial assistance with medical expenses?,"MEDICAL EXPENSES, FINANCIAL ASSISTANCE, RESOURCES RECOMMEND CAN?","/MEDICAL EXPENSES, FINANCIAL ASSISTANCE, RESOURCES RECOMMEND CAN?/*.npy"
can you provide a brief medical history?,MEDICAL HISTORY BRIEF CAN YOU GIVE?,/MEDICAL HISTORY BRIEF CAN YOU GIVE?/*.npy
can i receive a copy of my medical records?,MEDICAL RECORDS COPY RECEIVE CAN I?,/MEDICAL RECORDS COPY RECEIVE CAN I?/*.npy
would you like to discuss any adjustments to your current medication?,MEDICATION ADJUST DISCUSS WANT?,/MEDICATION ADJUST DISCUSS WANT?/*.npy
what are the alternatives to this medication?,MEDICATION ALTERNATIVE WHAT?,/MEDICATION ALTERNATIVE WHAT?/*.npy
are you experiencing any side effects from your current medication?,MEDICATION CURRENT SIDE EFFECT EXPERIENCE YOU?,/MEDICATION CURRENT SIDE EFFECT EXPERIENCE YOU?/*.npy
we need to adjust your medication dosage,MEDICATION DOSE ADJUST NEED,/MEDICATION DOSE ADJUST NEED/*.npy
can you help me understand the importance of each medication they're taking?,"MEDICATION EACH, IMPORTANCE UNDERSTAND HELP, CAN YOU?","/MEDICATION EACH, IMPORTANCE UNDERSTAND HELP, CAN YOU?/*.npy"
we need to review your current medication list for any potential interactions,MEDICATION LIST REVIEW INTERACTION CHECK NEED,/MEDICATION LIST REVIEW INTERACTION CHECK NEED/*.npy
i'm not sure how to manage my medication while traveling,"MEDICATION MANAGE HOW, TRAVEL WHILE","/MEDICATION MANAGE HOW, TRAVEL WHILE/*.npy"
can you provide instructions for medication management at home?,"MEDICATION MANAGEMENT, INSTRUCTIONS PROVIDE CAN?","/MEDICATION MANAGEMENT, INSTRUCTIONS PROVIDE CAN?/*.npy"
are you currently taking any other medications?,MEDICATION OTHER YOU TAKE NOW?,/MEDICATION OTHER YOU TAKE NOW?/*.npy
how often do you need a prescription refill for this medication?,MEDICATION PRESCRIPTION REFILL HOW OFTEN NEED?,/MEDICATION PRESCRIPTION REFILL HOW OFTEN NEED?/*.npy
do you need any assistance with managing your medication schedule?,MEDICATION SCHEDULE MANAGE HELP NEED?,/MEDICATION SCHEDULE MANAGE HELP NEED?/*.npy
can you explain my medication schedule?,"MEDICATION SCHEDULE MY, EXPLAIN CAN YOU?","/MEDICATION SCHEDULE MY, EXPLAIN CAN YOU?/*.npy"
can you help me understand the medication schedule they're on?,"MEDICATION SCHEDULE THEIR, UNDERSTAND HELP ME","/MEDICATION SCHEDULE THEIR, UNDERSTAND HELP ME/*.npy"
we need to check your insurance coverage for this medication,MEDICATION THIS INSURANCE COVERAGE WE NEED CHECK,/MEDICATION THIS INSURANCE COVERAGE WE NEED CHECK/*.npy
"this medication may cause drowsiness, so avoid driving","MEDICATION THIS MAYBE CAUSE SLEEPY, AVOID DRIVE","/MEDICATION THIS MAYBE CAUSE SLEEPY, AVOID DRIVE/*.npy"
please avoid driving while taking this medication,"MEDICATION THIS TAKE, AVOID DRIVE","/MEDICATION THIS TAKE, AVOID DRIVE/*.npy"
it's important to stay hydrated while taking this medication,"MEDICATION THIS TAKE, STAY HYDRATE IMPORTANT","/MEDICATION THIS TAKE, STAY HYDRATE IMPORTANT/*.npy"
i'm concerned about how this medication is affecting me,"MEDICATION THIS, AFFECT ME HOW, CONCERNED I","/MEDICATION THIS, AFFECT ME HOW, CONCERNED I/*.npy"
can you explain how this medication will help with their symptoms?,"MEDICATION THIS, SYMPTOMS HELP HOW, EXPLAIN","/MEDICATION THIS, SYMPTOMS HELP HOW, EXPLAIN/*.npy"
are you taking any medications?,MEDICATION YOU TAKE ANY?,/MEDICATION YOU TAKE ANY?/*.npy
i'm concerned about their ability to manage medications can we discuss this?,"MEDICATIONS MANAGE, THEIR ABILITY, CONCERNED, DISCUSS CAN?","/MEDICATIONS MANAGE, THEIR ABILITY, CONCERNED, DISCUSS CAN?/*.npy"
do you have medication side effects?,MEDICINE SIDE EFFECTS HAVE YOU?,/MEDICINE SIDE EFFECTS HAVE YOU?/*.npy
i'm having memory issues is that related to my medication?,"MEMORY ISSUES HAVE I, MEDICATION RELATED?","/MEMORY ISSUES HAVE I, MEDICATION RELATED?/*.npy"
are you experiencing any memory problems?,MEMORY PROBLEMS EXPERIENCE YOU?,/MEMORY PROBLEMS EXPERIENCE YOU?/*.npy
have you noticed any changes in your menstrual cycle?,MENSTRUAL CYCLE CHANGES NOTICE YOU?,/MENSTRUAL CYCLE CHANGES NOTICE YOU?/*.npy
we need to discuss the importance of mental health,MENTAL HEALTH IMPORTANCE DISCUSS,/MENTAL HEALTH IMPORTANCE DISCUSS/*.npy
can i get a referral for a mental health professional?,"MENTAL HEALTH PROFESSIONAL, REFERRAL GET CAN?","/MENTAL HEALTH PROFESSIONAL, REFERRAL GET CAN?/*.npy"
do you need any support or resources for mental health related to your condition?,MENTAL HEALTH SUPPORT NEED?,/MENTAL HEALTH SUPPORT NEED?/*.npy
i'm concerned about their mental health can we talk to a counselor?,MENTAL HEALTH THEIR CONCERNED I COUNSELOR TALK CAN?,/MENTAL HEALTH THEIR CONCERNED I COUNSELOR TALK CAN?/*.npy
please avoid eating or drinking anything after midnight before your surgery,MIDNIGHT AFTER NO EAT DRINK BEFORE SURGERY,/MIDNIGHT AFTER NO EAT DRINK BEFORE SURGERY/*.npy
is there a specific way i should be helping them with their mobility?,"MOBILITY HELP, SPECIFIC WAY WHAT?","/MOBILITY HELP, SPECIFIC WAY WHAT?/*.npy"
have you experienced any changes in your mood or behavior?,MOOD BEHAVIOR CHANGE EXPERIENCE YOU?,/MOOD BEHAVIOR CHANGE EXPERIENCE YOU?/*.npy
we'll need to do a few more tests to confirm the diagnosis,MORE TESTS DO NEED CONFIRM DIAGNOSIS,/MORE TESTS DO NEED CONFIRM DIAGNOSIS/*.npy
please remove any metal objects before the mri scan,"MRI SCAN BEFORE, REMOVE METAL","/MRI SCAN BEFORE, REMOVE METAL/*.npy"
is there a diet i should follow for my condition?,"MY CONDITION, DIET FOLLOW SHOULD?","/MY CONDITION, DIET FOLLOW SHOULD?/*.npy"
is there a specialist i can see for my condition?,"MY CONDITION, SPECIALIST SEE CAN I?","/MY CONDITION, SPECIALIST SEE CAN I?/*.npy"
i'm not sure i understand my diagnosis,MY DIAGNOSIS UNDERSTAND NOT I,/MY DIAGNOSIS UNDERSTAND NOT I/*.npy
let me know if you need anything,NEED ANYTHING TELL ME,/NEED ANYTHING TELL ME/*.npy
we'll need to monitor your vitals every few hours,NEED MONITOR YOUR VITALS EVERY FEW HOURS,/NEED MONITOR YOUR VITALS EVERY FEW HOURS/*.npy
we need to schedule a follow-up appointment to monitor your progress,NEED SCHEDULE FOLLOW-UP APPOINTMENT MONITOR PROGRESS,/NEED SCHEDULE FOLLOW-UP APPOINTMENT MONITOR PROGRESS/*.npy
are there any side effects we should monitor with this new medication?,NEW MEDICATION SIDE EFFECTS MONITOR NEED?,/NEW MEDICATION SIDE EFFECTS MONITOR NEED?/*.npy
i'm having side effects from my new medication,"NEW MEDICATION, SIDE EFFECTS HAVE I","/NEW MEDICATION, SIDE EFFECTS HAVE I/*.npy"
i'm experiencing new symptoms,NEW SYMPTOMS HAVE I,/NEW SYMPTOMS HAVE I/*.npy
how do i schedule my next appointment?,NEXT APPOINTMENT SCHEDULE HOW?,/NEXT APPOINTMENT SCHEDULE HOW?/*.npy
i'd like to know more about managing their symptoms at night,"NIGHT MANAGE SYMPTOMS THEIR, MORE KNOW WANT","/NIGHT MANAGE SYMPTOMS THEIR, MORE KNOW WANT/*.npy"
is this normal to experience?,NORMAL EXPERIENCE THIS?,/NORMAL EXPERIENCE THIS?/*.npy
i will take your blood pressure and temperature now,NOW I TAKE YOUR BLOOD-PRESSURE AND TEMPERATURE,/NOW I TAKE YOUR BLOOD-PRESSURE AND TEMPERATURE/*.npy
are you experiencing any discomfort or pain at the moment?,NOW PAIN DISCOMFORT YOU FEEL?,/NOW PAIN DISCOMFORT YOU FEEL?/*.npy
let's check your reflexes now,NOW WE CHECK YOUR REFLEX,/NOW WE CHECK YOUR REFLEX/*.npy
i'm going to listen to your heart and lungs now,NOW YOUR HEART LUNGS I LISTEN,/NOW YOUR HEART LUNGS I LISTEN/*.npy
are you experiencing any numbness or tingling?,NUMBNESS TINGLING EXPERIENCE YOU?,/NUMBNESS TINGLING EXPERIENCE YOU?/*.npy
can we set up a meeting with a nutritionist?,"NUTRITIONIST, MEETING SET UP CAN?","/NUTRITIONIST, MEETING SET UP CAN?/*.npy"
do you exercise often?,OFTEN EXERCISE YOU DO?,/OFTEN EXERCISE YOU DO?/*.npy
this ointment should be applied twice daily,OINTMENT APPLY TWICE DAILY,/OINTMENT APPLY TWICE DAILY/*.npy
are you feeling overwhelmed or stressed?,OVERWHELMED STRESSED FEEL YOU?,/OVERWHELMED STRESSED FEEL YOU?/*.npy
we will measure your oxygen levels during the test,OXYGEN LEVELS TEST DURING WE MEASURE,/OXYGEN LEVELS TEST DURING WE MEASURE/*.npy
tell me more about the pain you're experiencing,PAIN DESCRIBE MORE CAN YOU?,/PAIN DESCRIBE MORE CAN YOU?/*.npy
i'm concerned about how they're handling the pain are there alternatives to medication?,"PAIN HANDLE HOW, CONCERNED I, MEDICATION ALTERNATIVE?","/PAIN HANDLE HOW, CONCERNED I, MEDICATION ALTERNATIVE?/*.npy"
i've been having this pain for a week now,PAIN HAVE I ONE WEEK NOW,/PAIN HAVE I ONE WEEK NOW/*.npy
how long does the pain usually last?,PAIN LAST HOW LONG USUALLY?,/PAIN LAST HOW LONG USUALLY?/*.npy
how are you managing with your current pain levels?,PAIN LEVEL CURRENT MANAGE HOW YOU?,/PAIN LEVEL CURRENT MANAGE HOW YOU?/*.npy
can we discuss how to manage their pain without strong medications?,"PAIN MANAGE, MEDICATION STRONG WITHOUT, DISCUSS CAN?","/PAIN MANAGE, MEDICATION STRONG WITHOUT, DISCUSS CAN?/*.npy"
can i discuss alternative pain management options?,"PAIN MANAGEMENT ALTERNATIVE, DISCUSS CAN?","/PAIN MANAGEMENT ALTERNATIVE, DISCUSS CAN?/*.npy"
we have a variety of pain management options available,PAIN MANAGEMENT OPTIONS VARIOUS HAVE,/PAIN MANAGEMENT OPTIONS VARIOUS HAVE/*.npy
i'm concerned about getting addicted to my pain medication,"PAIN MEDICATION, ADDICTION WORRY ABOUT","/PAIN MEDICATION, ADDICTION WORRY ABOUT/*.npy"
can you rate your pain on a scale from 1 to 10?,PAIN YOURS RATE SCALE 1-10 CAN?,/PAIN YOURS RATE SCALE 1-10 CAN?/*.npy
can you provide more details about palliative care options?,"PALLIATIVE CARE OPTIONS, MORE DETAILS CAN?","/PALLIATIVE CARE OPTIONS, MORE DETAILS CAN?/*.npy"
please let me know if you need assistance with the paperwork,PAPERWORK HELP NEED YOU? INFORM ME PLEASE,/PAPERWORK HELP NEED YOU? INFORM ME PLEASE/*.npy
have you had any allergic reactions to medications in the past?,PAST ANY ALLERGIC REACTIONS MEDICINE YOU?,/PAST ANY ALLERGIC REACTIONS MEDICINE YOU?/*.npy
is there a patient advocate i can speak with for more support?,"PATIENT ADVOCATE, SPEAK WITH, MORE SUPPORT FOR?","/PATIENT ADVOCATE, SPEAK WITH, MORE SUPPORT FOR?/*.npy"
we have a patient website where you can access your test results,"PATIENT WEBSITE HAVE, YOUR TEST RESULTS ACCESS CAN","/PATIENT WEBSITE HAVE, YOUR TEST RESULTS ACCESS CAN/*.npy"
it's essential to follow the physical therapy routine,PHYSICAL THERAPY ROUTINE FOLLOW ESSENTIAL,/PHYSICAL THERAPY ROUTINE FOLLOW ESSENTIAL/*.npy
can i get a referral for physical therapy?,"PHYSICAL THERAPY, REFERRAL GET CAN I?","/PHYSICAL THERAPY, REFERRAL GET CAN I?/*.npy"
i'm having trouble swallowing my pills what can i do?,"PILLS SWALLOW TROUBLE, WHAT DO CAN I?","/PILLS SWALLOW TROUBLE, WHAT DO CAN I?/*.npy"
is there a place where i can wait while they're in surgery?,"PLACE WAIT CAN, DURING SURGERY THEY?","/PLACE WAIT CAN, DURING SURGERY THEY?/*.npy"
please relax and breathe normally during the examination,"PLEASE RELAX, BREATHE NORMAL DURING EXAM","/PLEASE RELAX, BREATHE NORMAL DURING EXAM/*.npy"
please take a seat in the waiting area,PLEASE SIT WAIT-AREA,/PLEASE SIT WAIT-AREA/*.npy
i need to know more about post-surgery care at home,"POST-SURGERY CARE HOME, MORE KNOW NEED I","/POST-SURGERY CARE HOME, MORE KNOW NEED I/*.npy"
can we have a detailed discussion about their post-surgery care?,"POST-SURGERY CARE, DISCUSSION DETAILED HAVE CAN?","/POST-SURGERY CARE, DISCUSSION DETAILED HAVE CAN?/*.npy"
we offer rehabilitation services post-surgery,POST-SURGERY REHABILITATION SERVICES OFFER,/POST-SURGERY REHABILITATION SERVICES OFFER/*.npy
are there any dietary restrictions they need to follow post-surgery?,"POST-SURGERY, DIETARY RESTRICTIONS ANY?","/POST-SURGERY, DIETARY RESTRICTIONS ANY?/*.npy"
please let me know if you have a preferred pharmacy,PREFERRED PHARMACY YOU HAVE INFORM ME,/PREFERRED PHARMACY YOU HAVE INFORM ME/*.npy
"i'm pregnant, is this medication safe for me?","PREGNANT I, THIS MEDICINE SAFE?","/PREGNANT I, THIS MEDICINE SAFE?/*.npy"
we need to monitor your heart rate and rhythm,PRENATAL CARE CHILDBIRTH CLASSES OFFER WE,/PRENATAL CARE CHILDBIRTH CLASSES OFFER WE/*.npy
what precautions should we take to prevent infection at home?,"PREVENT INFECTION HOME, PRECAUTIONS WHAT?","/PREVENT INFECTION HOME, PRECAUTIONS WHAT?/*.npy"
i'm interested in learning about preventive measures for their condition,"PREVENTIVE MEASURES, CONDITION THEIR, LEARN ABOUT INTERESTED","/PREVENTIVE MEASURES, CONDITION THEIR, LEARN ABOUT INTERESTED/*.npy"
i'm worried about the pain after the procedure,"PROCEDURE AFTER, PAIN WORRY I","/PROCEDURE AFTER, PAIN WORRY I/*.npy"
we need to perform some routine checks before your procedure,PROCEDURE BEFORE CHECK ROUTINE NEED,/PROCEDURE BEFORE CHECK ROUTINE NEED/*.npy
i have a question about the consent form for the procedure,"PROCEDURE CONSENT FORM, QUESTION HAVE I","/PROCEDURE CONSENT FORM, QUESTION HAVE I/*.npy"
can you explain the procedure to me in detail?,PROCEDURE EXPLAIN DETAIL CAN YOU?,/PROCEDURE EXPLAIN DETAIL CAN YOU?/*.npy
how long do you expect the procedure to take?,"PROCEDURE LONG TAKE, EXPECT HOW LONG?","/PROCEDURE LONG TAKE, EXPECT HOW LONG?/*.npy"
do you have any concerns about the procedures we've recommended?,PROCEDURE RECOMMEND CONCERN HAVE YOU?,/PROCEDURE RECOMMEND CONCERN HAVE YOU?/*.npy
would you like to discuss the long-term prognosis of your condition?,PROGNOSIS LONG-TERM DISCUSS WANT?,/PROGNOSIS LONG-TERM DISCUSS WANT?/*.npy
can we discuss strategies for improving their quality of life?,"QUALITY LIFE THEIR, IMPROVE STRATEGIES, DISCUSS CAN?","/QUALITY LIFE THEIR, IMPROVE STRATEGIES, DISCUSS CAN?/*.npy"
i'm having a reaction to something what should i do?,"REACTION SOMETHING TO, WHAT DO SHOULD I?","/REACTION SOMETHING TO, WHAT DO SHOULD I?/*.npy"
i'm experiencing a reaction to a medication i recently started,RECENT MEDICINE START REACTION I HAVE,/RECENT MEDICINE START REACTION I HAVE/*.npy
what are the most important factors in their recovery process?,"RECOVERY IMPORTANT FACTORS, WHAT?","/RECOVERY IMPORTANT FACTORS, WHAT?/*.npy"
what should we expect during the recovery period?,"RECOVERY PERIOD, EXPECT WHAT?","/RECOVERY PERIOD, EXPECT WHAT?/*.npy"
how long is the recovery process?,RECOVERY PROCESS LONG HOW?,/RECOVERY PROCESS LONG HOW?/*.npy
i want to make sure we're doing everything possible for their recovery,"RECOVERY THEIR, EVERYTHING POSSIBLE DOING, MAKE SURE WANT","/RECOVERY THEIR, EVERYTHING POSSIBLE DOING, MAKE SURE WANT/*.npy"
is there a way i can help them with their recovery process?,"RECOVERY THEIR, HELP HOW CAN?","/RECOVERY THEIR, HELP HOW CAN?/*.npy"
i want to understand the timeline of their recovery process,"RECOVERY TIMELINE, UNDERSTAND WANT","/RECOVERY TIMELINE, UNDERSTAND WANT/*.npy"
can we discuss their rehabilitation plan?,"REHABILITATION PLAN THEIR, DISCUSS CAN?","/REHABILITATION PLAN THEIR, DISCUSS CAN?/*.npy"
can you help me schedule my rehabilitation sessions?,"REHABILITATION SESSIONS, SCHEDULE HELP CAN YOU?","/REHABILITATION SESSIONS, SCHEDULE HELP CAN YOU?/*.npy"
have you had any symptoms of respiratory problems?,RESPIRATORY PROBLEMS SYMPTOMS HAVE YOU?,/RESPIRATORY PROBLEMS SYMPTOMS HAVE YOU?/*.npy
i need information on respite care options,"RESPITE CARE OPTIONS, INFORMATION NEED","/RESPITE CARE OPTIONS, INFORMATION NEED/*.npy"
how can we ensure they're getting the right nutrition for healing?,"RIGHT NUTRITION GET, HEALING FOR, ENSURE HOW?","/RIGHT NUTRITION GET, HEALING FOR, ENSURE HOW?/*.npy"
we need to assess the risk factors,RISK FACTORS ASSESS NEED,/RISK FACTORS ASSESS NEED/*.npy
we will do a routine checkup,ROUTINE CHECKUP DO WILL,/ROUTINE CHECKUP DO WILL/*.npy
we recommend regular screenings for your condition when was your last screening?,SCREENING REGULAR RECOMMEND LAST WHEN?,/SCREENING REGULAR RECOMMEND LAST WHEN?/*.npy
can i get a second opinion?,SECOND OPINION GET CAN I?,/SECOND OPINION GET CAN I?/*.npy
can we get a second opinion regarding this treatment?,"SECOND OPINION GET CAN, TREATMENT THIS ABOUT?","/SECOND OPINION GET CAN, TREATMENT THIS ABOUT?/*.npy"
we will do a test for sexually transmitted infections,SEXUALLY TRANSMITTED INFECTIONS TEST DO,/SEXUALLY TRANSMITTED INFECTIONS TEST DO/*.npy
